stock,date,field,calendar_rows,qlib_rows,qlib_non_null,qlib_file_exists,qlib_bin
000004.SZ,2025-07-08,open,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/open.1min.bin
000004.SZ,2025-07-08,high,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/high.1min.bin
000004.SZ,2025-07-08,low,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/low.1min.bin
000004.SZ,2025-07-08,close,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/close.1min.bin
000004.SZ,2025-07-08,volume,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/volume.1min.bin
000004.SZ,2025-07-08,amount,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/amount.1min.bin
000004.SZ,2025-07-08,factor,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/factor.1min.bin
000004.SZ,2025-07-08,limit_up,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/limit_up.1min.bin
000004.SZ,2025-07-08,limit_down,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/limit_down.1min.bin
000004.SZ,2025-07-08,prev_close,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/prev_close.1min.bin
000004.SZ,2025-07-08,up_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/up_limit_price.1min.bin
000004.SZ,2025-07-08,down_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/down_limit_price.1min.bin
000004.SZ,2025-07-09,open,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/open.1min.bin
000004.SZ,2025-07-09,high,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/high.1min.bin
000004.SZ,2025-07-09,low,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/low.1min.bin
000004.SZ,2025-07-09,close,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/close.1min.bin
000004.SZ,2025-07-09,volume,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/volume.1min.bin
000004.SZ,2025-07-09,amount,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/amount.1min.bin
000004.SZ,2025-07-09,factor,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/factor.1min.bin
000004.SZ,2025-07-09,limit_up,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/limit_up.1min.bin
000004.SZ,2025-07-09,limit_down,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/limit_down.1min.bin
000004.SZ,2025-07-09,prev_close,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/prev_close.1min.bin
000004.SZ,2025-07-09,up_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/up_limit_price.1min.bin
000004.SZ,2025-07-09,down_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/down_limit_price.1min.bin
000004.SZ,2025-07-10,open,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/open.1min.bin
000004.SZ,2025-07-10,high,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/high.1min.bin
000004.SZ,2025-07-10,low,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/low.1min.bin
000004.SZ,2025-07-10,close,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/close.1min.bin
000004.SZ,2025-07-10,volume,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/volume.1min.bin
000004.SZ,2025-07-10,amount,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/amount.1min.bin
000004.SZ,2025-07-10,factor,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/factor.1min.bin
000004.SZ,2025-07-10,limit_up,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/limit_up.1min.bin
000004.SZ,2025-07-10,limit_down,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/limit_down.1min.bin
000004.SZ,2025-07-10,prev_close,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/prev_close.1min.bin
000004.SZ,2025-07-10,up_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/up_limit_price.1min.bin
000004.SZ,2025-07-10,down_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/down_limit_price.1min.bin
000004.SZ,2025-07-11,open,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/open.1min.bin
000004.SZ,2025-07-11,high,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/high.1min.bin
000004.SZ,2025-07-11,low,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/low.1min.bin
000004.SZ,2025-07-11,close,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/close.1min.bin
000004.SZ,2025-07-11,volume,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/volume.1min.bin
000004.SZ,2025-07-11,amount,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/amount.1min.bin
000004.SZ,2025-07-11,factor,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/factor.1min.bin
000004.SZ,2025-07-11,limit_up,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/limit_up.1min.bin
000004.SZ,2025-07-11,limit_down,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/limit_down.1min.bin
000004.SZ,2025-07-11,prev_close,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/prev_close.1min.bin
000004.SZ,2025-07-11,up_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/up_limit_price.1min.bin
000004.SZ,2025-07-11,down_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/down_limit_price.1min.bin
000004.SZ,2025-07-14,open,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/open.1min.bin
000004.SZ,2025-07-14,high,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/high.1min.bin
000004.SZ,2025-07-14,low,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/low.1min.bin
000004.SZ,2025-07-14,close,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/close.1min.bin
000004.SZ,2025-07-14,volume,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/volume.1min.bin
000004.SZ,2025-07-14,amount,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/amount.1min.bin
000004.SZ,2025-07-14,factor,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/factor.1min.bin
000004.SZ,2025-07-14,limit_up,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/limit_up.1min.bin
000004.SZ,2025-07-14,limit_down,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/limit_down.1min.bin
000004.SZ,2025-07-14,prev_close,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/prev_close.1min.bin
000004.SZ,2025-07-14,up_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/up_limit_price.1min.bin
000004.SZ,2025-07-14,down_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/down_limit_price.1min.bin
000004.SZ,2025-07-15,open,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/open.1min.bin
000004.SZ,2025-07-15,high,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/high.1min.bin
000004.SZ,2025-07-15,low,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/low.1min.bin
000004.SZ,2025-07-15,close,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/close.1min.bin
000004.SZ,2025-07-15,volume,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/volume.1min.bin
000004.SZ,2025-07-15,amount,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/amount.1min.bin
000004.SZ,2025-07-15,factor,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/factor.1min.bin
000004.SZ,2025-07-15,limit_up,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/limit_up.1min.bin
000004.SZ,2025-07-15,limit_down,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/limit_down.1min.bin
000004.SZ,2025-07-15,prev_close,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/prev_close.1min.bin
000004.SZ,2025-07-15,up_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/up_limit_price.1min.bin
000004.SZ,2025-07-15,down_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000004.sz/down_limit_price.1min.bin
000006.SZ,2025-07-08,open,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/open.1min.bin
000006.SZ,2025-07-08,high,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/high.1min.bin
000006.SZ,2025-07-08,low,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/low.1min.bin
000006.SZ,2025-07-08,close,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/close.1min.bin
000006.SZ,2025-07-08,volume,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/volume.1min.bin
000006.SZ,2025-07-08,amount,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/amount.1min.bin
000006.SZ,2025-07-08,factor,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/factor.1min.bin
000006.SZ,2025-07-08,limit_up,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/limit_up.1min.bin
000006.SZ,2025-07-08,limit_down,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/limit_down.1min.bin
000006.SZ,2025-07-08,prev_close,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/prev_close.1min.bin
000006.SZ,2025-07-08,up_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/up_limit_price.1min.bin
000006.SZ,2025-07-08,down_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/down_limit_price.1min.bin
000006.SZ,2025-07-09,open,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/open.1min.bin
000006.SZ,2025-07-09,high,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/high.1min.bin
000006.SZ,2025-07-09,low,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/low.1min.bin
000006.SZ,2025-07-09,close,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/close.1min.bin
000006.SZ,2025-07-09,volume,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/volume.1min.bin
000006.SZ,2025-07-09,amount,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/amount.1min.bin
000006.SZ,2025-07-09,factor,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/factor.1min.bin
000006.SZ,2025-07-09,limit_up,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/limit_up.1min.bin
000006.SZ,2025-07-09,limit_down,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/limit_down.1min.bin
000006.SZ,2025-07-09,prev_close,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/prev_close.1min.bin
000006.SZ,2025-07-09,up_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/up_limit_price.1min.bin
000006.SZ,2025-07-09,down_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/down_limit_price.1min.bin
000006.SZ,2025-07-10,open,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/open.1min.bin
000006.SZ,2025-07-10,high,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/high.1min.bin
000006.SZ,2025-07-10,low,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/low.1min.bin
000006.SZ,2025-07-10,close,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/close.1min.bin
000006.SZ,2025-07-10,volume,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/volume.1min.bin
000006.SZ,2025-07-10,amount,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/amount.1min.bin
000006.SZ,2025-07-10,factor,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/factor.1min.bin
000006.SZ,2025-07-10,limit_up,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/limit_up.1min.bin
000006.SZ,2025-07-10,limit_down,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/limit_down.1min.bin
000006.SZ,2025-07-10,prev_close,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/prev_close.1min.bin
000006.SZ,2025-07-10,up_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/up_limit_price.1min.bin
000006.SZ,2025-07-10,down_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/down_limit_price.1min.bin
000006.SZ,2025-07-11,open,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/open.1min.bin
000006.SZ,2025-07-11,high,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/high.1min.bin
000006.SZ,2025-07-11,low,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/low.1min.bin
000006.SZ,2025-07-11,close,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/close.1min.bin
000006.SZ,2025-07-11,volume,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/volume.1min.bin
000006.SZ,2025-07-11,amount,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/amount.1min.bin
000006.SZ,2025-07-11,factor,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/factor.1min.bin
000006.SZ,2025-07-11,limit_up,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/limit_up.1min.bin
000006.SZ,2025-07-11,limit_down,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/limit_down.1min.bin
000006.SZ,2025-07-11,prev_close,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/prev_close.1min.bin
000006.SZ,2025-07-11,up_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/up_limit_price.1min.bin
000006.SZ,2025-07-11,down_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/down_limit_price.1min.bin
000006.SZ,2025-07-14,open,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/open.1min.bin
000006.SZ,2025-07-14,high,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/high.1min.bin
000006.SZ,2025-07-14,low,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/low.1min.bin
000006.SZ,2025-07-14,close,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/close.1min.bin
000006.SZ,2025-07-14,volume,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/volume.1min.bin
000006.SZ,2025-07-14,amount,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/amount.1min.bin
000006.SZ,2025-07-14,factor,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/factor.1min.bin
000006.SZ,2025-07-14,limit_up,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/limit_up.1min.bin
000006.SZ,2025-07-14,limit_down,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/limit_down.1min.bin
000006.SZ,2025-07-14,prev_close,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/prev_close.1min.bin
000006.SZ,2025-07-14,up_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/up_limit_price.1min.bin
000006.SZ,2025-07-14,down_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/down_limit_price.1min.bin
000006.SZ,2025-07-15,open,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/open.1min.bin
000006.SZ,2025-07-15,high,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/high.1min.bin
000006.SZ,2025-07-15,low,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/low.1min.bin
000006.SZ,2025-07-15,close,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/close.1min.bin
000006.SZ,2025-07-15,volume,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/volume.1min.bin
000006.SZ,2025-07-15,amount,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/amount.1min.bin
000006.SZ,2025-07-15,factor,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/factor.1min.bin
000006.SZ,2025-07-15,limit_up,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/limit_up.1min.bin
000006.SZ,2025-07-15,limit_down,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/limit_down.1min.bin
000006.SZ,2025-07-15,prev_close,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/prev_close.1min.bin
000006.SZ,2025-07-15,up_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/up_limit_price.1min.bin
000006.SZ,2025-07-15,down_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000006.sz/down_limit_price.1min.bin
000007.SZ,2025-07-08,open,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/open.1min.bin
000007.SZ,2025-07-08,high,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/high.1min.bin
000007.SZ,2025-07-08,low,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/low.1min.bin
000007.SZ,2025-07-08,close,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/close.1min.bin
000007.SZ,2025-07-08,volume,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/volume.1min.bin
000007.SZ,2025-07-08,amount,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/amount.1min.bin
000007.SZ,2025-07-08,factor,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/factor.1min.bin
000007.SZ,2025-07-08,limit_up,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/limit_up.1min.bin
000007.SZ,2025-07-08,limit_down,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/limit_down.1min.bin
000007.SZ,2025-07-08,prev_close,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/prev_close.1min.bin
000007.SZ,2025-07-08,up_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/up_limit_price.1min.bin
000007.SZ,2025-07-08,down_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/down_limit_price.1min.bin
000007.SZ,2025-07-09,open,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/open.1min.bin
000007.SZ,2025-07-09,high,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/high.1min.bin
000007.SZ,2025-07-09,low,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/low.1min.bin
000007.SZ,2025-07-09,close,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/close.1min.bin
000007.SZ,2025-07-09,volume,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/volume.1min.bin
000007.SZ,2025-07-09,amount,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/amount.1min.bin
000007.SZ,2025-07-09,factor,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/factor.1min.bin
000007.SZ,2025-07-09,limit_up,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/limit_up.1min.bin
000007.SZ,2025-07-09,limit_down,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/limit_down.1min.bin
000007.SZ,2025-07-09,prev_close,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/prev_close.1min.bin
000007.SZ,2025-07-09,up_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/up_limit_price.1min.bin
000007.SZ,2025-07-09,down_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/down_limit_price.1min.bin
000007.SZ,2025-07-10,open,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/open.1min.bin
000007.SZ,2025-07-10,high,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/high.1min.bin
000007.SZ,2025-07-10,low,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/low.1min.bin
000007.SZ,2025-07-10,close,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/close.1min.bin
000007.SZ,2025-07-10,volume,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/volume.1min.bin
000007.SZ,2025-07-10,amount,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/amount.1min.bin
000007.SZ,2025-07-10,factor,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/factor.1min.bin
000007.SZ,2025-07-10,limit_up,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/limit_up.1min.bin
000007.SZ,2025-07-10,limit_down,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/limit_down.1min.bin
000007.SZ,2025-07-10,prev_close,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/prev_close.1min.bin
000007.SZ,2025-07-10,up_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/up_limit_price.1min.bin
000007.SZ,2025-07-10,down_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/down_limit_price.1min.bin
000007.SZ,2025-07-11,open,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/open.1min.bin
000007.SZ,2025-07-11,high,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/high.1min.bin
000007.SZ,2025-07-11,low,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/low.1min.bin
000007.SZ,2025-07-11,close,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/close.1min.bin
000007.SZ,2025-07-11,volume,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/volume.1min.bin
000007.SZ,2025-07-11,amount,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/amount.1min.bin
000007.SZ,2025-07-11,factor,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/factor.1min.bin
000007.SZ,2025-07-11,limit_up,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/limit_up.1min.bin
000007.SZ,2025-07-11,limit_down,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/limit_down.1min.bin
000007.SZ,2025-07-11,prev_close,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/prev_close.1min.bin
000007.SZ,2025-07-11,up_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/up_limit_price.1min.bin
000007.SZ,2025-07-11,down_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/down_limit_price.1min.bin
000007.SZ,2025-07-14,open,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/open.1min.bin
000007.SZ,2025-07-14,high,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/high.1min.bin
000007.SZ,2025-07-14,low,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/low.1min.bin
000007.SZ,2025-07-14,close,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/close.1min.bin
000007.SZ,2025-07-14,volume,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/volume.1min.bin
000007.SZ,2025-07-14,amount,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/amount.1min.bin
000007.SZ,2025-07-14,factor,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/factor.1min.bin
000007.SZ,2025-07-14,limit_up,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/limit_up.1min.bin
000007.SZ,2025-07-14,limit_down,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/limit_down.1min.bin
000007.SZ,2025-07-14,prev_close,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/prev_close.1min.bin
000007.SZ,2025-07-14,up_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/up_limit_price.1min.bin
000007.SZ,2025-07-14,down_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/down_limit_price.1min.bin
000007.SZ,2025-07-15,open,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/open.1min.bin
000007.SZ,2025-07-15,high,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/high.1min.bin
000007.SZ,2025-07-15,low,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/low.1min.bin
000007.SZ,2025-07-15,close,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/close.1min.bin
000007.SZ,2025-07-15,volume,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/volume.1min.bin
000007.SZ,2025-07-15,amount,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/amount.1min.bin
000007.SZ,2025-07-15,factor,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/factor.1min.bin
000007.SZ,2025-07-15,limit_up,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/limit_up.1min.bin
000007.SZ,2025-07-15,limit_down,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/limit_down.1min.bin
000007.SZ,2025-07-15,prev_close,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/prev_close.1min.bin
000007.SZ,2025-07-15,up_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/up_limit_price.1min.bin
000007.SZ,2025-07-15,down_limit_price,240,240,240,True,/home/lc999/data/qlib_minute_bin/features/000007.sz/down_limit_price.1min.bin
000010.SZ,2025-07-08,open,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000010.sz/open.1min.bin
000010.SZ,2025-07-08,high,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000010.sz/high.1min.bin
000010.SZ,2025-07-08,low,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000010.sz/low.1min.bin
000010.SZ,2025-07-08,close,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000010.sz/close.1min.bin
000010.SZ,2025-07-08,volume,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000010.sz/volume.1min.bin
000010.SZ,2025-07-08,amount,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000010.sz/amount.1min.bin
000010.SZ,2025-07-08,factor,240,240,0,True,/home/lc999/data/qlib_minute_bin/features/000010.sz/factor.1min.bin
